Position,Quantity,MarketValue,Unrealized_PnL
SCHD,862.656,27475.58,3849.24
SITC,420.625,1875.98,-1781.24
UNH,10.208,4354.12,854.39
JEPI,298.441,16748.50,478.82
SGOV,137.095,13764.33,687.16
SPYI,189.449,10057.84,1693.82
VXUS,123.531,10442.07,2167.97
